neighborhood,Safety
Central Business District,0.0
South Side Flats,0.0
Carrick,0.0
East Allegheny,0.0
Homewood South,0.0
Homewood North,0.0
East Liberty,0.0
Marshall-Shadeland,0.0
Bluff,0.0
Mount Washington,0.0
Hazelwood,0.0
Brookline,0.0
Lincoln-Lemington-Belmar,0.0
Knoxville,0.0
Sheraden,0.0
Allegheny Center,0.0
Beechview,0.0
East Hills,0.0
Brighton Heights,0.0
Perry South,0.0
Bloomfield,0.0
Shadyside,0.0
Allentown,0.0
Middle Hill,0.0
Larimer,0.0
Central North Side,0.0
Crawford-Roberts,0.0
North Shore,0.0
Squirrel Hill South,0.0
South Side Slopes,0.0
Fineview,0.0
Homewood West,0.0
Garfield,0.0
Northview Heights,0.0
Spring Hill-City View,0.0
Bedford Dwellings,0.0
Elliott,0.0
Crafton Heights,0.0
Perry North,0.0
Highland Park,0.0
Greenfield,0.0
Central Oakland,0.0
Strip District,0.0
Beltzhoover,0.1
Manchester,0.1
North Oakland,0.1
Chateau,0.1
Troy Hill,0.1
Central Lawrenceville,0.1
Upper Hill,0.2
South Oakland,0.2
Overbrook,0.2
West Oakland,0.2
Outside City,0.2
California-Kirkbride,0.2
Arlington,0.2
Point Breeze,0.2
South Shore,0.2
Terrace Village,0.2
Banksville,0.2
West End,0.2
Squirrel Hill North,0.2
Point Breeze North,0.2
Lower Lawrenceville,0.2
Bon Air,0.2
Lincoln Place,0.2
Westwood,0.2
Stanton Heights,0.2
Spring Garden,0.2
Esplen,0.3
Duquesne Heights,0.3
Upper Lawrenceville,0.3
Morningside,0.3
Friendship,0.3
Glen Hazel,0.3
Polish Hill,0.3
Arlington Heights,0.3
Allegheny West,0.5
Fairywood,0.5
Mount Oliver,0.5
Windgap,0.5
Hays,0.5
Golden Triangle/Civic Arena,0.7
Oakwood,0.7
Summer Hill,0.8
Outside State,0.8
Outside County,0.8
St. Clair,0.8
East Carnegie,0.9
Chartiers City,0.9
Swisshelm Park,0.9
New Homestead,0.9
Ridgemont,0.9
Regent Square,0.9
Central Northside,0.9
Mt. Oliver Boro,1.0
Troy Hill-Herrs Island,1.0
Mt. Oliver Neighborhood,1.0
